country,adr,adr,lead_time,total_of_special_requests
,mean,max,median,sum
ARG,1.81549960854407,1.81549960854407,-0.9569328576314626,0
BEL,0.8275164431355291,0.8275164431355291,0.9420255752477491,2
DEU,0.321175070863652,0.321175070863652,0.2914564825020932,0
ESP,0.291685270320397,2.1353591583450853,-0.7107715792952686,6
FRA,-0.8115064623120147,0.1861507049244847,-0.10415985768107588,0
GBR,-0.4129724197399254,2.0624953998962052,0.23870763714433735,5
IRL,-0.6727085495605234,1.3215080258397995,-0.09536838345478323,6
NOR,-1.1389817156797208,-0.8240620817057486,1.0123573690580903,4
OMN,0.321175070863652,0.321175070863652,0.36178827631243443,0
POL,-0.24279865272372353,-0.24279865272372353,-0.07778543500219794,0
PRT,0.18344684948127377,2.0624953998962052,-0.10415985768107588,34
ROU,1.4038399562905113,1.4038399562905113,0.25629058559692264,1
USA,0.32024883664608134,2.0624953998962052,-0.7635204246530244,4
